date,trip_year,trip_month,trip_day,weekday,n_trips,n_csl_trips,prop_lobster,all_all,csl_all,all_hook_and_line,all_spear_or_hand,all_nets,all_traps,all_unknown,all_diving,all_combined_gears,csl_spear_or_hand,csl_traps,csl_nets,csl_hook_and_line,csl_unknown,csl_diving,csl_combined_gears,year,is_sunday
1985-05-25,1985,5,25,Saturday,43,0,0,1798,0,360,0,48,1310,0,80,0,0,0,0,0,0,0,0,1985,0
1985-05-26,1985,5,26,Sunday,19,4,0.210526316,727,39,204,26,87,300,0,110,0,0,9,0,0,0,30,0,1985,1
1985-05-27,1985,5,27,Monday,21,0,0,605,0,185,6,123,231,0,60,0,0,0,0,0,0,0,0,1985,0
1985-05-28,1985,5,28,Tuesday,18,0,0,1142,0,337,0,10,752,0,43,0,0,0,0,0,0,0,0,1985,0
1985-05-29,1985,5,29,Wednesday,20,0,0,1172,0,297,0,24,692,0,159,0,0,0,0,0,0,0,0,1985,0
1985-05-30,1985,5,30,Thursday,15,0,0,343,0,172,12,50,44,0,65,0,0,0,0,0,0,0,0,1985,0
1985-05-31,1985,5,31,Friday,16,0,0,789,0,127,36,24,576,0,26,0,0,0,0,0,0,0,0,1985,0
1985-06-01,1985,6,1,Saturday,23,0,0,1215,0,220,0,75,870,0,50,0,0,0,0,0,0,0,0,1985,0
1985-06-02,1985,6,2,Sunday,21,0,0,901,0,287,0,20,450,0,144,0,0,0,0,0,0,0,0,1985,1
1985-06-03,1985,6,3,Monday,17,0,0,771,0,404,0,27,190,0,150,0,0,0,0,0,0,0,0,1985,0
1985-06-04,1985,6,4,Tuesday,29,0,0,2149,0,830,0,70,1249,0,0,0,0,0,0,0,0,0,0,1985,0
1985-06-05,1985,6,5,Wednesday,28,0,0,1239,0,298,0,46,765,0,130,0,0,0,0,0,0,0,0,1985,0
1985-06-06,1985,6,6,Thursday,11,0,0,371,0,95,90,8,73,0,105,0,0,0,0,0,0,0,0,1985,0
1985-06-07,1985,6,7,Friday,23,0,0,1138,0,424,30,74,520,0,90,0,0,0,0,0,0,0,0,1985,0
1985-06-08,1985,6,8,Saturday,33,5,0.151515152,1656,67,160,45,115,1260,0,76,0,0,9,0,0,0,58,0,1985,0
1985-06-09,1985,6,9,Sunday,23,3,0.130434783,1018,75,400,30,38,435,0,115,0,0,25,0,0,0,50,0,1985,1
1985-06-10,1985,6,10,Monday,18,0,0,726,0,341,0,29,291,0,65,0,0,0,0,0,0,0,0,1985,0
1985-06-11,1985,6,11,Tuesday,23,0,0,1642,0,425,0,0,1083,0,134,0,0,0,0,0,0,0,0,1985,0
1985-06-12,1985,6,12,Wednesday,13,0,0,628,0,211,28,0,349,0,40,0,0,0,0,0,0,0,0,1985,0
1985-06-13,1985,6,13,Thursday,17,0,0,627,0,442,0,0,160,0,25,0,0,0,0,0,0,0,0,1985,0
1985-06-14,1985,6,14,Friday,21,0,0,1000,0,319,0,100,434,0,147,0,0,0,0,0,0,0,0,1985,0
1985-06-15,1985,6,15,Saturday,32,0,0,1597,0,199,34,30,1334,0,0,0,0,0,0,0,0,0,0,1985,0
1985-06-16,1985,6,16,Sunday,14,0,0,545,0,132,14,0,399,0,0,0,0,0,0,0,0,0,0,1985,1
1985-06-17,1985,6,17,Monday,13,0,0,727,0,180,12,28,379,0,128,0,0,0,0,0,0,0,0,1985,0
1985-06-18,1985,6,18,Tuesday,22,0,0,1120,0,291,0,0,735,0,94,0,0,0,0,0,0,0,0,1985,0
1985-06-19,1985,6,19,Wednesday,19,0,0,925,0,421,30,0,414,0,60,0,0,0,0,0,0,0,0,1985,0
